Size_sqft,Bedrooms,Age_years,Distance_city_km,Price
1200.0,2.0,15.0,10.0,220000.0
1500.0,3.0,10.0,8.0,280000.0
1800.0,3.0,8.0,6.0,340000.0
2000.0,4.0,5.0,5.0,400000.0
2200.0,4.0,4.0,4.0,410000.0
2500.0,5.0,3.0,3.0,520000.0
2700.0,5.0,5.0,2.0,580000.0
3000.0,6.0,1.0,1.0,650000.0
1100.0,2.0,20.0,12.0,200000.0
1600.0,4.0,12.0,9.0,300000.0
1900.0,4.0,7.0,4.5,360000.0
2100.0,4.0,6.0,5.0,420000.0
2300.0,5.0,4.0,4.0,480000.0
2600.0,5.0,3.0,3.0,410000.0
2800.0,6.0,2.0,2.0,610000.0
3200.0,6.0,1.0,4.5,700000.0
1400.0,3.0,18.0,11.0,260000.0
1700.0,3.0,5.0,8.0,320000.0
2400.0,4.0,5.0,4.0,500000.0
2100.0,5.0,2.0,2.0,630000.0
