number,name,type1,type2,height,weight,legendary
1,Bulbasaur,Grass,Poison,0.7,6.9,False
2,Ivysaur,Grass,Poison,1.0,13.0,False
3,Venusaur,Grass,Poison,2.0,100.0,False
4,Charmander,Fire,None,0.6,8.5,False
5,Charmeleon,Fire,None,1.1,19.0,False
6,Charizard,Fire,Flying,1.7,90.5,False
7,Squirtle,Water,None,0.5,9.0,False
8,Wartortle,Water,None,1.0,22.5,False
9,Blastoise,Water,None,1.6,85.5,False
10,Caterpie,Bug,None,0.3,2.9,False
11,Metapod,Bug,None,0.7,9.9,False
12,Butterfree,Bug,Flying,1.1,32.0,False
13,Weedle,Bug,Poison,0.3,3.2,False
14,Kakuna,Bug,Poison,0.6,10.0,False
15,Beedrill,Bug,Poison,1.0,29.5,False
16,Pidgey,Normal,Flying,0.3,1.8,False
17,Pidgeotto,Normal,Flying,1.1,30.0,False
18,Pidgeot,Normal,Flying,1.5,39.5,False
19,Rattata,Normal,None,0.3,3.5,False
20,Raticate,Normal,None,0.7,18.5,False
21,Spearow,Normal,Flying,0.3,2.0,False
22,Fearow,Normal,Flying,1.2,38.0,False
23,Ekans,Poison,None,2.0,6.9,False
24,Arbok,Poison,None,3.5,65.0,False
25,Pikachu,Electric,None,0.4,6.0,False
26,Raichu,Electric,None,0.8,30.0,False
27,Sandshrew,Ground,None,0.6,12.0,False
28,Sandslash,Ground,None,1.0,29.5,False
29,Nidoran♀,Poison,None,0.4,7.0,False
30,Nidorina,Poison,None,0.8,20.0,False
31,Nidoqueen,Poison,Ground,1.3,60.0,False
150,Mewtwo,Psychic,None,2.0,122.0,True
151,Mew,Psychic,None,0.4,4.0,True
