town,area,price
mumbai,1200,250000
mumbai,1500,300000
mumbai,1800,360000
mumbai,2000,400000
mumbai,2200,450000
mumbai,2500,500000
mumbai,2800,540000
mumbai,3000,580000

delhi,1000,220000
delhi,1300,270000
delhi,1600,320000
delhi,1900,370000
delhi,2100,410000
delhi,2400,460000
delhi,2700,510000
delhi,2900,550000

bangalore,900,200000
bangalore,1200,250000
bangalore,1500,300000
bangalore,1800,350000
bangalore,2000,390000
bangalore,2300,440000
bangalore,2600,490000
bangalore,2800,530000

chennai,800,180000
chennai,1100,230000
chennai,1400,280000
chennai,1700,330000
chennai,1900,370000
chennai,2200,420000
chennai,2500,470000
chennai,2700,510000

hyderabad,850,190000
hyderabad,1150,240000
hyderabad,1450,290000
hyderabad,1750,340000
hyderabad,2050,390000
hyderabad,2350,440000
hyderabad,2650,490000
hyderabad,2950,540000

pune,950,210000
pune,1250,260000
pune,1550,310000
pune,1850,360000
pune,2150,410000
pune,2450,460000
pune,2750,510000
pune,3050,560000
